cyclone_name,day,url,source,num_articles
b'cody',20220108,"['https://www.wypr.org/2022-01-07/pacific-northwest-storm-causes-flooding-and-landslides-and-shuts-roads', 'https://www.fijivillage.com/feature/TD03F-is-now-a-Tropical-Depression--likely-to-be-a-CAT-1-Cyclone-by-tomorrow-x8r5f4/']","['wypr.org', 'fijivillage.com']",2
b'cody',20220109,"['https://www.rnz.co.nz/international/pacific-news/459254/fiji-schools-close-evacuation-centres-open-as-tropical-cyclone-warning-issued', 'https://www.dailyrecordnews.com/ap_news/washington/body-of-flood-victim-recovered-after-pacific-northwest-storm/article_5b722a19-8929-5d33-a8de-afad943173a6.html']","['rnz.co.nz', 'dailyrecordnews.com']",2
b'cody',20220110,"['https://www.newstalkzb.co.nz/news/national/weather-tropical-cyclone-in-fiji-strengthens-but-not-expected-to-affect-new-zealand/', 'https://www.rnz.co.nz/international/pacific-news/459335/cyclone-leaves-fiji-but-flood-risk-continues']","['newstalkzb.co.nz', 'rnz.co.nz']",2
b'cody',20220111,['https://www.stuff.co.nz/national/127472853/northland-fire-firefighters-bracing-for-strong-winds-from-fiji-cyclone'],['stuff.co.nz'],1
b'cody',20220112,['https://www.rnz.co.nz/international/pacific-news/459467/cyclone-cody-forces-fiji-climate-refugees-to-take-shelter-at-school'],['rnz.co.nz'],1
b'batsirai',20220126,"['https://bdnews24.com/world/africa/2022/01/26/storm-ana-kills-at-least-three-in-mozambique-and-malawi', 'https://www.withinnigeria.com/broadnews/2022/01/26/tropical-storm-kills-34-people-in-madagascar-ocha-confirms/', 'https://www.msn.com/en-xl/africa/top-stories/madagascar-scrambles-to-respond-after-storm-devastation/ar-AAT9sj2']","['bdnews24.com', 'withinnigeria.com', 'msn.com']",3
b'batsirai',20220201,['https://www.msn.com/en-xl/news/other/storm-ana-destroys-778-schools-in-mozambique/ar-AATmRMX'],['msn.com'],1
b'batsirai',20220203,['https://www.parisguardian.com/news/272262870/tropical-cyclone-batsirai-batters-frances-reunion-island'],['parisguardian.com'],1
b'cliff',20220204,"['http://thepeninsulaqatar.com/article/04/02/2022/storm-batsirai-set-to-displace-150000-in-madagascar-aid-agencies-say', 'https://www.maravipost.com/madagascar-recovering-from-one-deadly-cyclone-bracing-for-another%EF%BF%BC%EF%BF%BC%EF%BF%BC%EF%BF%BC/']","['thepeninsulaqatar.com', 'maravipost.com']",2
b'cliff',20220205,"['https://www.msn.com/en-GB/news/world/cyclone-batsirai-madagascar-set-to-be-hit-by-huge-storms-mph-winds/ar-AATu10Q', 'https://www.heraldsun.com.au/news/breaking-news/cyclone-batsirai-closes-in-on-eastern-madagascar/news-story/e87e0d1a4036e98c02aafd204472abcc?nk=f47f94b30d50d0d70c4575decd86b547-1644081517']","['msn.com', 'heraldsun.com.au']",2
b'batsirai',20220206,"['https://www.msn.com/en-xl/africa/other/madagascar-cyclone-batsirai-destroys-homes-as-it-makes-landfall/ar-AATwjGE', 'https://www.wbaa.org/2022-02-06/an-estimated-45-000-people-have-been-displaced-by-a-cyclone-in-madagascar', 'https://www.messengernewspapers.co.uk/news/19903528.thousands-force-flee-cyclone-batters-madagascar/', 'https://www.kwbu.org/post/estimated-45000-people-have-been-displaced-cyclone-madagascar']","['msn.com', 'wbaa.org', 'messengernewspapers.co.uk', 'kwbu.org']",4
b'cliff',20220207,"['https://www.sapeople.com/2022/02/07/cyclone-batsirai-kills-at-least-10-in-madagascar-destroys-homes-and-cuts-power/', 'https://www.enca.com/news/humanitarian-crisis-feared-cyclone-kills-20-madagascar']","['sapeople.com', 'enca.com']",2
b'batsirai',20220208,"['https://www.thedailystar.net/news/world/africa-rest-the-world/news/cyclone-batsirai-kills-21-madagascar-2957126', 'https://www.africanews.com/2022/02/08/cyclone-kills-20-in-madagascar-1000s-left-homeless/']","['thedailystar.net', 'africanews.com']",2
b'dovi',20220209,['https://www.rnz.co.nz/international/pacific-news/461215/tropical-low-between-vanuatu-and-new-caledonia-develops-into-a-cyclone'],['rnz.co.nz'],1
b'dumako',20220213,['https://thewall.fyi/very-alarming-aid-workers-describe-levelled-madagascar-town-after-cyclone-news24/'],['thewall.fyi'],1
b'emnati',20220222,"['https://www.nigeriasun.com/news/272324457/un-says-race-against-time-as-new-storm-nears-madagascar', 'http://cisanewsafrica.com/madagascar-pope-prays-for-victims-as-country-awaits-another-cyclone/']","['nigeriasun.com', 'cisanewsafrica.com']",2
b'emnati',20220223,['https://www.heraldscotland.com/news/19945900.roofs-ripped-off-houses-another-cyclone-hits-madagascar/'],['heraldscotland.com'],1
b'gombe',20220308,['https://www.news24.com/witness/News/tropical-storm-gombe-heading-to-mozambique-channel-20220308'],['news24.com'],1
b'halima',20220322,['https://www.sott.net/article/465754-Mozambique-Death-toll-from-Cyclone-Gombe-rises-to-more-than-50'],['sott.net'],1
b'halima',20220326,['http://www.seychellesnewsagency.com/articles/16487/Tropical+cyclone+disasters+Red+Cross+calls+for+all+in+Seychelles+to+donate+food+and+basic+commodities+for+devastated+Madagascar'],['seychellesnewsagency.com'],1
b'halima',20220328,['https://www.tanzanianewsreports.com/tropical-cyclone-disasters-red-cross-calls-on-seychelles-to-donate-food-and-basic-commodities-for-devastated-madagascar/'],['tanzanianewsreports.com'],1
b'malakas',20220412,"['https://www.theguardian.com/world/2022/apr/12/tropical-storm-megi-philippines-deaths-landslides-floods', 'https://news.yahoo.com/philippines-rescuers-race-survivors-storm-080558199.html', 'https://saudigazette.com.sa/article/619285/World/Asia/25-killed-in-Philippines-tropical-storm', 'https://www.bignewsnetwork.com/news/272473978/uae-expresses-solidarity-with-philippines-offers-condolences-over-tropical-storm-victims']","['theguardian.com', 'yahoo.com', 'saudigazette.com.sa', 'bignewsnetwork.com']",4
b'malakas',20220413,"['https://menafn.com/1104006286/Thousands-displaced-after-typhoon-Megi-hits-Philippines&source=22', 'https://kelo.com/2022/04/13/thousands-displaced-after-typhoon-megi-hits-philippines/', 'https://menafn.com/1104006286/Thousands-displaced-after-typhoon-Megi-hits-Philippines&source=27']","['menafn.com', 'kelo.com', 'menafn.com']",3
b'jasmine',20220420,['https://clubofmozambique.com/news/switzerland-is-contributing-to-the-emergency-response-to-cyclone-gombe-to-date-this-contribution-has-helped-3630-people-214624/'],['clubofmozambique.com'],1
b'asani',20220505,['https://www.wlrn.org/news/2022-05-05/florida-utilities-seek-approval-for-funds-to-reduce-hurricane-damage'],['wlrn.org'],1
b'asani',20220508,['https://www.irishtimes.com/news/world/as-one-drug-cartel-is-cleared-in-mexico-others-storm-in-1.4870393'],['irishtimes.com'],1
b'asani',20220511,['https://www.jamaicaobserver.com/latest-news/corporate-area-drains-to-be-cleaned-in-preparation-for-2022-hurricane-season/'],['jamaicaobserver.com'],1
b'agatha',20220527,['https://www.wpbf.com/article/florida-hurricane-disturbance-atlantic-pacific-mexico/40127728'],['wpbf.com'],1
