date_time,sid,name,season,basin,lat,lon,wind,pressure,storm_speed,storm_dir,time_stamp,year,month,day,hour,lon_0360,10m_u_component_of_wind,10m_v_component_of_wind,2m_temperature,mean_sea_level_pressure,number,valid_time,latitude,longitude,expver
68,b'2021358S09130',b'SETH',2022.0,b'SP',-21.3,156.7,40.0,997.0,8.0,115.0,2022-01-01 00:00:00.000039936,2022,1,1,0,156.7,3.314972,-3.1040955,300.6699,99488.75,0,2022-01-01 00:00:00,-21.098999999999997,156.8,1
69,b'2021358S09130',b'SETH',2022.0,b'SP',-21.5,157.0,40.0,997.0,8.0,120.0,2022-01-01 03:00:00.000039936,2022,1,1,3,157.0,3.7351837,-1.022934,300.64575,99349.69,0,2022-01-01 03:00:00,-21.598999999999997,156.8,1
70,b'2021358S09130',b'SETH',2022.0,b'SP',-21.7,157.4,40.0,996.0,9.0,125.0,2022-01-01 06:00:00.000039936,2022,1,1,6,157.4,5.3876038,-2.2316742,300.50592,99264.81,0,2022-01-01 06:00:00,-21.598999999999997,157.3,1
71,b'2021358S09130',b'SETH',2022.0,b'SP',-21.8,157.9,38.0,998.0,11.0,135.0,2022-01-01 09:00:00.000039936,2022,1,1,9,157.9,4.962845,-4.2685547,300.4499,99483.875,0,2022-01-01 09:00:00,-21.598999999999997,157.8,1
72,b'2021358S09130',b'SETH',2022.0,b'SP',-22.1,158.3,35.0,1000.0,12.0,150.0,2022-01-01 12:00:00.000039936,2022,1,1,12,158.3,3.2568665,-6.8806,300.07336,99427.5,0,2022-01-01 12:00:00,-22.098999999999997,158.3,1
73,b'2021358S09130',b'SETH',2022.0,b'SP',-22.8,158.5,35.0,999.0,15.0,165.0,2022-01-01 15:00:00.000039936,2022,1,1,15,158.5,5.6596527,0.91438293,299.55084,99262.06,0,2022-01-01 15:00:00,-22.598999999999997,158.3,1
74,b'2021358S09130',b'SETH',2022.0,b'SP',-23.7,158.7,35.0,998.0,19.0,170.0,2022-01-01 18:00:00.000039936,2022,1,1,18,158.7,5.1874847,-1.1898193,299.41644,99176.19,0,2022-01-01 18:00:00,-23.598999999999997,158.8,1
75,b'2021358S09130',b'SETH',2022.0,b'SP',-24.8,158.9,38.0,995.0,20.0,175.0,2022-01-01 21:00:00.000039936,2022,1,1,21,158.9,5.9121246,-3.5773926,298.42996,99141.31,0,2022-01-01 21:00:00,-24.598999999999997,158.8,1
76,b'2021358S09130',b'SETH',2022.0,b'SP',-25.8,159.0,40.0,992.0,14.0,185.0,2022-01-02 00:00:00.000039936,2022,1,2,0,159.0,-1.1169434,-9.688095,297.7702,98747.125,0,2022-01-02 00:00:00,-25.598999999999997,158.8,1
77,b'2021358S09130',b'SETH',2022.0,b'SP',-26.3,158.8,40.0,992.0,8.0,205.0,2022-01-02 03:00:00.000039936,2022,1,2,3,158.8,-5.522934,-9.695175,297.4215,98491.31,0,2022-01-02 03:00:00,-26.098999999999997,158.8,1
78,b'2021358S09130',b'SETH',2022.0,b'SP',-26.5,158.6,40.0,991.0,6.0,210.0,2022-01-02 06:00:00.000039936,2022,1,2,6,158.6,-9.508987,-6.3052216,297.50665,98399.375,0,2022-01-02 06:00:00,-26.598999999999997,158.8,1
79,b'2021358S09130',b'SETH',2022.0,b'SP',-26.7,158.5,40.0,990.0,6.0,205.0,2022-01-02 09:00:00.000039936,2022,1,2,9,158.5,-0.60383606,5.8281097,297.6037,98550.69,0,2022-01-02 09:00:00,-26.598999999999997,158.3,1
80,b'2021358S09130',b'SETH',2022.0,b'SP',-27.0,158.4,40.0,989.0,7.0,220.0,2022-01-02 12:00:00.000039936,2022,1,2,12,158.4,-5.2543945,1.6100159,297.45294,98730.0,0,2022-01-02 12:00:00,-27.098999999999997,158.3,1
0,b'2022008S17173',b'CODY',2022.0,b'SP',-17.4,172.8,25.0,1004.0,3.0,205.0,2022-01-07 12:00:00.000039936,2022,1,7,12,172.8,0.33638,-1.6717529,300.0642,100262.75,0,2022-01-07 12:00:00,-17.598999999999997,172.8,1
1,b'2022008S17173',b'CODY',2022.0,b'SP',-17.5,172.7,25.0,1004.0,3.0,200.0,2022-01-07 15:00:00.000039936,2022,1,7,15,172.7,3.3025112,1.035492,300.09247,100026.06,0,2022-01-07 15:00:00,-17.598999999999997,172.8,1
2,b'2022008S17173',b'CODY',2022.0,b'SP',-17.7,172.7,25.0,1004.0,3.0,180.0,2022-01-07 18:00:00.000039936,2022,1,7,18,172.7,6.4598293,-0.11702061,300.0016,100070.25,0,2022-01-07 18:00:00,-17.598999999999997,172.8,1
3,b'2022008S17173',b'CODY',2022.0,b'SP',-18.0,172.7,30.0,1001.0,4.0,160.0,2022-01-07 21:00:00.000039936,2022,1,7,21,172.7,-0.7081375,2.2413635,300.85974,100105.81,0,2022-01-07 21:00:00,-18.098999999999997,172.8,1
