sid,name,basin,season,time_stamp,lat,lon,wind,pressure,storm_speed,storm_dir,2m_temperature,mean_sea_level_pressure_hpa,10m_u_component_of_wind,10m_v_component_of_wind,era5_spatial_error_km
b'2021358S09130',b'SETH',b'SP',2022.0,2022-01-01 00:00:00.000039936,-21.3,156.7,40.0,997.0,8.0,115.0,300.6699,994.8875,3.314972,-3.1040955,24.63747430477147
b'2021358S09130',b'SETH',b'SP',2022.0,2022-01-01 03:00:00.000039936,-21.5,157.0,40.0,997.0,8.0,120.0,300.64575,993.4969,3.7351837,-1.022934,23.431403440046676
b'2021358S09130',b'SETH',b'SP',2022.0,2022-01-01 06:00:00.000039936,-21.7,157.4,40.0,996.0,9.0,125.0,300.50592,992.6481,5.3876038,-2.2316742,15.262458649933075
b'2021358S09130',b'SETH',b'SP',2022.0,2022-01-01 09:00:00.000039936,-21.8,157.9,38.0,998.0,11.0,135.0,300.4499,994.83875,4.962845,-4.2685547,24.622564260358875
b'2021358S09130',b'SETH',b'SP',2022.0,2022-01-01 12:00:00.000039936,-22.1,158.3,35.0,1000.0,12.0,150.0,300.07336,994.275,3.2568665,-6.8806,0.11119492664532987
b'2021358S09130',b'SETH',b'SP',2022.0,2022-01-01 15:00:00.000039936,-22.8,158.5,35.0,999.0,15.0,165.0,299.55084,992.6206,5.6596527,0.91438293,30.338950659642467
b'2021358S09130',b'SETH',b'SP',2022.0,2022-01-01 18:00:00.000039936,-23.7,158.7,35.0,998.0,19.0,170.0,299.41644,991.7619,5.1874847,-1.1898193,15.161646891681247
b'2021358S09130',b'SETH',b'SP',2022.0,2022-01-01 21:00:00.000039936,-24.8,158.9,38.0,995.0,20.0,175.0,298.42996,991.4131,5.9121246,-3.5773926,24.52722234627168
b'2021358S09130',b'SETH',b'SP',2022.0,2022-01-02 00:00:00.000039936,-25.8,159.0,40.0,992.0,14.0,185.0,297.7702,987.47125,-1.1169434,-9.688095,30.01826487472391
b'2021358S09130',b'SETH',b'SP',2022.0,2022-01-02 03:00:00.000039936,-26.3,158.8,40.0,992.0,8.0,205.0,297.4215,984.9131,-5.522934,-9.695175,22.350180255556754
b'2021358S09130',b'SETH',b'SP',2022.0,2022-01-02 06:00:00.000039936,-26.5,158.6,40.0,991.0,6.0,210.0,297.50665,983.99375,-9.508987,-6.3052216,22.736484087831194
b'2021358S09130',b'SETH',b'SP',2022.0,2022-01-02 09:00:00.000039936,-26.7,158.5,40.0,990.0,6.0,205.0,297.6037,985.5069,-0.60383606,5.8281097,22.829854361756443
b'2021358S09130',b'SETH',b'SP',2022.0,2022-01-02 12:00:00.000039936,-27.0,158.4,40.0,989.0,7.0,220.0,297.45294,987.3,-5.2543945,1.6100159,14.807277130422888
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-07 12:00:00.000039936,-17.4,172.8,25.0,1004.0,3.0,205.0,300.0642,1002.6275,0.33638,-1.6717529,22.1277904022668
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-07 15:00:00.000039936,-17.5,172.7,25.0,1004.0,3.0,200.0,300.09247,1000.2606,3.3025112,1.035492,15.283456735093283
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-07 18:00:00.000039936,-17.7,172.7,25.0,1004.0,3.0,180.0,300.0016,1000.7025,6.4598293,-0.11702061,15.44038157278915
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-07 21:00:00.000039936,-18.0,172.7,30.0,1001.0,4.0,160.0,300.85974,1001.0581,-0.7081375,2.2413635,15.26289513493865
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-08 00:00:00.000039936,-13.3,147.9,20.0,1007.0,6.0,160.0,299.41876,1006.56375,-3.046524,3.4893951,24.833983796778522
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-08 00:00:00.000039936,-18.2,172.8,35.0,997.0,3.0,135.0,300.95197,1001.42875,3.4144135,-2.8133392,11.230687591100866
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-08 03:00:00.000039936,-13.4,148.0,20.0,1007.0,5.0,160.0,299.8026,1004.8244,-3.4664001,4.5448914,30.939624634003895
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-08 03:00:00.000039936,-18.3,172.9,35.0,997.0,3.0,120.0,300.67957,1000.2106,5.7015686,0.38668823,24.720687511018866
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-08 06:00:00.000039936,-13.4,148.0,20.0,1007.0,4.0,160.0,300.68988,1002.9469,-1.1430264,6.220398,30.939624634003895
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-08 06:00:00.000039936,-18.4,173.1,35.0,996.0,4.0,125.0,301.13715,999.7456,-0.12544823,-4.420227,30.56826564829516
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-08 09:00:00.000039936,-13.4,148.0,23.0,1006.0,2.0,165.0,300.9445,1004.2125,0.101867676,7.401245,30.939624634003895
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-08 09:00:00.000039936,-18.5,173.2,35.0,998.0,4.0,120.0,301.18472,1000.8225,1.5979614,-0.4678955,15.241806658220055
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-08 12:00:00.000039936,-13.4,148.0,25.0,1004.0,3.0,0.0,300.00406,1005.0806,2.5706787,3.9515228,30.939624634003895
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-08 12:00:00.000039936,-18.6,173.4,35.0,999.0,5.0,95.0,300.8361,1001.2069,1.8070068,0.6556244,10.539321292942441
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-08 15:00:00.000039936,-13.5,147.9,28.0,1003.0,4.0,195.0,299.75793,1003.5369000000001,4.673355,5.1347046,15.428511801961623
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-08 15:00:00.000039936,-18.5,173.7,38.0,997.0,7.0,85.0,300.52356,999.3319,2.423355,-3.3115845,15.241806658220055
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-08 18:00:00.000039936,-13.7,147.8,30.0,1001.0,5.0,230.0,300.05212,1002.7675,7.910721,2.986023,11.230687591100866
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-08 18:00:00.000039936,-18.3,174.2,40.0,995.0,9.0,85.0,299.80798,1000.3725,7.8062286,-5.5862427,24.720687511020014
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-08 21:00:00.000039936,-13.8,147.6,33.0,1000.0,7.0,250.0,299.6527,1004.6981,7.811226,0.19537354,31.086374996659984
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-08 21:00:00.000039936,-18.1,174.7,35.0,998.0,10.0,90.0,300.24646,1000.1956,7.7858353,-4.7616577,10.569867623066598
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-09 00:00:00.000039936,-13.9,147.3,35.0,998.0,5.0,250.0,300.62778,1004.2356,1.9247799,0.54403687,22.1277904022668
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-09 00:00:00.000039936,-18.1,175.3,30.0,1000.0,10.0,105.0,300.493,999.0119,8.304663,-1.6649475,0.11119492664532987
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-09 03:00:00.000039936,-14.0,147.1,40.0,997.0,4.0,255.0,300.53406,1002.4425,4.607748,-8.667099,24.220003128770507
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-09 03:00:00.000039936,-18.4,175.8,33.0,999.0,10.0,120.0,300.8817,996.81875,4.102865,1.2635651,22.1277904022668
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-09 06:00:00.000039936,-14.0,146.9,45.0,995.0,6.0,270.0,300.37488,999.2975,1.065342,-3.1351776,15.412303767595084
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-09 06:00:00.000039936,-18.8,176.2,35.0,997.0,10.0,125.0,300.11707,996.54125,8.537022,-2.9437714,24.707581135621883
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-09 09:00:00.000039936,-13.9,146.4,50.0,994.0,9.0,275.0,300.14648,1000.5119,-3.051529,6.6116943,24.618006193328792
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-09 09:00:00.000039936,-19.2,176.7,38.0,998.0,9.0,130.0,299.9043,996.5481,9.059799,-5.782837,15.377471426658172
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-09 12:00:00.000039936,-13.9,145.9,55.0,993.0,10.0,270.0,300.03577,1002.5925,-2.2966614,11.373749,24.618006193328792
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-09 12:00:00.000039936,-19.6,177.0,40.0,999.0,7.0,140.0,300.13928,994.905,6.1213074,-6.908478,20.95076085753171
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-09 15:00:00.000039936,-14.0,145.4,58.0,991.0,10.0,265.0,300.0481,1001.4469,7.2805176,10.83699,15.412303767595084
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-09 15:00:00.000039936,-19.9,177.1,43.0,998.0,4.0,165.0,299.6399,993.5894000000001,-3.0437012,-7.6503143,30.436157720160125
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-09 18:00:00.000039936,-14.1,144.9,60.0,989.0,9.0,265.0,299.69733,1001.9544000000001,13.144928,7.5288086,10.785081545885566
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-09 18:00:00.000039936,-20.0,177.1,45.0,996.0,4.0,220.0,299.69733,991.0419,-6.81308,-8.737793,23.614105148249884
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-09 21:00:00.000039936,-14.2,144.5,60.0,989.0,7.0,260.0,299.83646,1006.02875,11.885132,3.0544739,24.31350204295643
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-09 21:00:00.000039936,-20.0,176.9,43.0,997.0,6.0,250.0,300.57083,989.69875,1.2532959,0.4656067,15.17542304410497
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-10 00:00:00.000039936,-14.3,144.1,60.0,989.0,6.0,245.0,300.24634,1008.24875,5.2779236,-4.303528,31.053876260431732
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-10 00:00:00.000039936,-20.1,176.6,40.0,997.0,7.0,240.0,300.89087,989.86625,4.6997986,-11.177551,20.884864749490145
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-10 03:00:00.000039936,-14.4,143.9,53.0,993.0,5.0,235.0,300.00342,1006.62625,1.3886871,-0.03164673,24.607547652292983
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-10 03:00:00.000039936,-20.3,176.2,48.0,990.0,8.0,235.0,300.8706,986.61125,5.4414215,0.2984314,24.66641725214055
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-10 06:00:00.000039936,-14.5,143.7,45.0,996.0,7.0,255.0,300.38123,1003.22,1.9009094,3.7467194,15.395539176534452
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-10 06:00:00.000039936,-20.5,175.8,55.0,983.0,8.0,240.0,300.93982,985.975,0.68118286,4.749649,11.008297737810913
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-10 09:00:00.000039936,-14.6,143.2,38.0,999.0,9.0,265.0,298.1825,1006.4069000000001,3.1455994,3.5932007,10.761033904862284
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-10 09:00:00.000039936,-20.6,175.6,53.0,984.0,8.0,255.0,300.6903,987.0244,0.45614624,-2.262268,20.817378228407534
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-10 12:00:00.000039936,-14.6,142.7,30.0,1002.0,10.0,270.0,297.4723,1007.2325,1.4114685,0.5096283,10.76103390486502
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-10 12:00:00.000039936,-20.7,175.3,50.0,985.0,9.0,265.0,300.26526,987.6425,-2.3815002,-4.279434,11.230687591100866
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-10 15:00:00.000039936,-14.6,142.3,30.0,1003.0,10.0,275.0,297.81564,1005.9594000000001,2.4467468,-0.73172,0.11119492664497621
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-10 15:00:00.000039936,-20.7,174.8,48.0,988.0,9.0,270.0,299.96408,985.4794,1.6401062,1.368866,11.230687591100866
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-10 18:00:00.000039936,-14.6,141.9,30.0,1004.0,8.0,275.0,297.83777,1003.8419,2.4674683,0.3245697,10.761033904859545
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-10 18:00:00.000039936,-20.7,174.3,45.0,991.0,6.0,265.0,299.7948,985.7794,2.4205933,-0.3131256,11.230687591100866
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-10 21:00:00.000039936,-14.6,141.5,35.0,1002.0,6.0,270.0,300.02716,1004.46,0.25820923,6.9201202,21.521205529935532
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-10 21:00:00.000039936,-20.7,174.0,45.0,991.0,4.0,245.0,299.86896,985.82,-1.7671814,1.0802765,23.647293510815178
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-11 00:00:00.000039936,-14.6,141.1,40.0,1000.0,9.0,250.0,300.22888,1006.5469,0.40626526,-7.1686554,21.52120552993827
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-11 00:00:00.000039936,-20.8,173.8,45.0,990.0,3.0,235.0,300.34607,986.7631,-0.47361755,-5.484085,22.350180255556754
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-11 03:00:00.000039936,-14.7,140.6,40.0,1000.0,13.0,250.0,300.39716,1004.025,5.0240173,-8.968765,24.270707488023948
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-11 03:00:00.000039936,-20.8,173.6,45.0,990.0,3.0,225.0,300.1042,986.5675,6.6246033,-7.676773,30.533769807376714
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-11 06:00:00.000039936,-14.9,140.0,40.0,1000.0,15.0,260.0,300.47314,999.7444,-8.198181,1.0677032,30.839634659761085
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-11 06:00:00.000039936,-20.9,173.5,45.0,989.0,3.0,215.0,299.74268,985.7444,-6.727478,5.0403595,30.342989874547303
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-11 09:00:00.000039936,-14.9,139.0,45.0,998.0,17.0,275.0,300.71982,1002.6419000000001,-2.5375519,12.613068,30.839634659761085
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-11 09:00:00.000039936,-21.0,173.4,48.0,991.0,3.0,195.0,299.68466,986.6344,-3.7397003,5.141388,15.12861400438391
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-11 12:00:00.000039936,-14.9,138.0,50.0,995.0,16.0,275.0,300.39505,1004.0056,0.29212952,8.523376,30.839634659761085
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-11 12:00:00.000039936,-21.2,173.4,50.0,992.0,4.0,170.0,299.47513,987.0294,2.7501373,-1.4082642,15.286455823203669
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-11 15:00:00.000039936,-14.9,137.3,53.0,994.0,14.0,275.0,300.31375,1000.685,3.902649,10.218292,22.1277904022668
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-11 15:00:00.000039936,-21.4,173.5,53.0,989.0,5.0,155.0,299.13992,984.89375,-2.2682495,0.4116516,30.294905502458512
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-11 18:00:00.000039936,-14.8,136.7,55.0,993.0,12.0,275.0,300.3325,999.2825,12.362854,0.81359863,24.80347347248472
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-11 18:00:00.000039936,-21.8,173.7,55.0,986.0,8.0,165.0,299.186,986.41625,5.724182,-8.487183,24.622564260359976
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-11 21:00:00.000039936,-14.8,136.1,55.0,993.0,12.0,275.0,300.4694,998.8044,9.387329,-1.5299377,31.020275468527448
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-11 21:00:00.000039936,-22.3,173.8,58.0,984.0,11.0,170.0,299.44986,988.1080999999999,1.7652588,-7.7691956,22.350180255556754
