Storm_ID,Storm_Name,Ocean_Basin,Year,Timestamp,Latitude,Longitude,Observed_Wind_Max_Knots,Observed_Pressure_Min_mb,Storm_Speed_Knots,Storm_Direction_Deg,ERA5_Temp_2m_Kelvin,ERA5_Pressure_MSL_hPa,ERA5_Wind_U_Component,ERA5_Wind_V_Component,ERA5_Position_Error_km
2021358S09130,SETH,SP,2022.0,2022-01-01 00:00:00.000039936,-21.3,156.7,40.0,997.0,8.0,115.0,299.51,1002.5256,-6.5145416,-10.562637,342.36117221215585
2021358S09130,SETH,SP,2022.0,2022-01-01 03:00:00.000039936,-21.5,157.0,40.0,997.0,8.0,120.0,299.44043,1000.3619,-4.798233,-11.203262,310.36837620656246
2021358S09130,SETH,SP,2022.0,2022-01-01 06:00:00.000039936,-21.7,157.4,40.0,996.0,9.0,125.0,299.92505,998.2025,-5.5930176,-10.5578,269.719776520963
2021358S09130,SETH,SP,2022.0,2022-01-01 09:00:00.000039936,-21.8,157.9,38.0,998.0,11.0,135.0,299.44604,998.81875,-4.601486,-11.440872,217.79496962285
2021358S09130,SETH,SP,2022.0,2022-01-01 12:00:00.000039936,-22.1,158.3,35.0,1000.0,12.0,150.0,299.67236,997.4194,-1.5761261,-14.441864,175.5565380071236
2021358S09130,SETH,SP,2022.0,2022-01-01 15:00:00.000039936,-22.8,158.5,35.0,999.0,15.0,165.0,299.33643,994.13625,-2.8908386,-13.663361,155.2470439105728
2021358S09130,SETH,SP,2022.0,2022-01-01 18:00:00.000039936,-23.7,158.7,35.0,998.0,19.0,170.0,299.23926,993.22125,-2.2108002,-13.547195,134.31665397143448
2021358S09130,SETH,SP,2022.0,2022-01-01 21:00:00.000039936,-24.8,158.9,38.0,995.0,20.0,175.0,298.94092,992.995,-6.5618134,-16.550781,113.15114088237384
2021358S09130,SETH,SP,2022.0,2022-01-02 00:00:00.000039936,-25.8,159.0,40.0,992.0,14.0,185.0,299.0232,992.7281,-12.259491,-15.293243,102.46833462925052
2021358S09130,SETH,SP,2022.0,2022-01-02 03:00:00.000039936,-26.3,158.8,40.0,992.0,8.0,205.0,298.89917,991.68625,-10.887299,-14.347702,121.56921410704034
