Storm_ID,Storm_Name,Ocean_Basin,Year,Timestamp,number,atcf_id,Latitude,Longitude,Observed_Wind_Max_Knots,Observed_Pressure_Min_mb,Storm_Speed_Knots,Storm_Direction_Deg,ERA5_Temp_2m_Kelvin,ERA5_Pressure_MSL_hPa,ERA5_Wind_U_Component,ERA5_Wind_V_Component,ERA5_Position_Error_km,latitude,longitude,RW_Casualty_Info,RW_Injured_Info,RW_Evacuated_Displaced,RW_Affected_Population,RW_Disease_Context,RW_Report_Link,RW_Total_Reports
2022008S17173,CODY,SP,2022.0,2022-01-07 12:00:00.000039936,2.0,b'SH052022',-17.4,172.8,25.0,1004.0,3.0,205.0,300.53052,1002.84686,2.6501007,-8.584717,23.952900262865377,-17.5,173.0,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-07 15:00:00.000039936,2.0,b'SH052022',-17.5,172.7,25.0,1004.0,3.0,200.0,299.833,1000.665,5.8339996,5.9675903,21.20969630192997,-17.5,172.5,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-07 18:00:00.000039936,2.0,b'SH052022',-17.7,172.7,25.0,1004.0,3.0,180.0,299.82715,1001.2594,9.274033,2.4201508,30.723390953649687,-17.5,172.5,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-07 21:00:00.000039936,2.0,b'SH052022',-18.0,172.7,30.0,1001.0,4.0,160.0,300.29175,1001.53625,0.74909973,4.6404724,21.15053088746039,-18.0,172.5,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-08 00:00:00.000039936,2.0,b'SH052022',-18.2,172.8,35.0,997.0,3.0,135.0,300.49487,1001.7581,6.01001,-8.911682,30.68237664414492,-18.0,173.0,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-08 03:00:00.000039936,2.0,b'SH052022',-18.3,172.9,35.0,997.0,3.0,120.0,301.34302,999.7381,0.7382355,-2.6099243,24.61496160825133,-18.5,173.0,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-08 06:00:00.000039936,2.0,b'SH052022',-18.4,173.1,35.0,996.0,4.0,125.0,301.4336,999.6425,2.0889587,2.465866,15.326525604716345,-18.5,173.0,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-08 09:00:00.000039936,2.0,b'SH052022',-18.5,173.2,35.0,998.0,4.0,120.0,301.30835,1001.01624,3.096466,4.2905884,21.0897547771654,-18.5,173.0,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-08 12:00:00.000039936,2.0,b'SH052022',-18.6,173.4,35.0,999.0,5.0,95.0,300.36157,1001.2275,4.1444397,-3.3447418,15.322288231134346,-18.5,173.5,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-08 15:00:00.000039936,2.0,b'SH052022',-18.5,173.7,38.0,997.0,7.0,85.0,300.44507,999.215,2.5908966,1.0952911,21.0897547771654,-18.5,173.5,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-08 18:00:00.000039936,2.0,b'SH052022',-18.3,174.2,40.0,995.0,9.0,85.0,300.51343,999.8169,2.998993,-0.2715912,30.657265056370967,-18.5,174.0,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-08 21:00:00.000039936,2.0,b'SH052022',-18.1,174.7,35.0,998.0,10.0,90.0,300.1648,1000.2444,8.367859,-2.697464,23.890038379908063,-18.0,174.5,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-09 00:00:00.000039936,2.0,b'SH052022',-18.1,175.3,30.0,1000.0,10.0,105.0,299.76343,998.9194,10.672501,-4.3033295,23.890038379908063,-18.0,175.5,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-09 03:00:00.000039936,2.0,b'SH052022',-18.4,175.8,33.0,999.0,10.0,120.0,300.2256,996.5606,7.946121,-1.1217804,23.84701581242768,-18.5,176.0,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-09 06:00:00.000039936,2.0,b'SH052022',-18.8,176.2,35.0,997.0,10.0,125.0,301.3711,996.4575,2.7722015,3.8793793,30.61457994860245,-19.0,176.0,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-09 09:00:00.000039936,2.0,b'SH052022',-19.2,176.7,38.0,998.0,9.0,130.0,300.09155,996.9325,10.283539,-0.7707062,30.597216159467127,-19.0,176.5,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
